iter	Passed	Remaining
860	11169177	1803154
861	11182043	1790164
862	11194668	1777137
863	11207434	1764133
864	11220229	1751134
865	11232890	1738114
866	11245635	1725108
867	11258398	1712106
868	11271043	1699087
869	11283840	1686091
870	11296542	1673081
871	11309304	1660081
872	11321999	1647072
873	11334611	1634051
874	11347329	1621047
875	11360082	1608048
876	11372802	1595045
877	11385553	1582047
878	11398302	1569049
879	11411030	1556049
880	11423785	1543053
881	11436466	1530048
882	11449169	1517047
883	11461912	1504051
884	11474556	1491044
885	11487232	1478041
886	11499894	1465037
887	11512588	1452038
888	11525332	1439046
889	11538158	1426064
890	11550811	1413062
891	11563566	1400073
892	11576350	1387087
893	11589074	1374096
894	11601783	1361103
895	11614446	1348105
896	11627115	1335109
897	11639991	1322137
898	11652758	1309153
899	11665514	1296168
900	11678231	1283179
901	11690957	1270192
902	11703749	1257213
903	11716443	1244224
904	11729213	1231243
905	11742005	1218265
906	11754694	1205277
907	11767466	1192298
908	11780306	1179326
909	11793016	1166342
910	11805652	1153351
911	11818403	1140372
912	11831113	1127389
913	11843814	1114407
914	11856530	1101426
915	11869173	1088439
916	11881935	1075464
917	11894624	1062482
918	11907396	1049509
919	11920136	1036533
920	11932826	1023554
921	11945562	1010579
922	11958294	997604
923	11971032	984630
924	11983770	971657
925	11996402	958675
926	12009078	945698
927	12021907	932734
928	12034618	919760
929	12047362	906790
930	12060038	893815
931	12072728	880842
932	12085414	867870
933	12098095	854897
934	12110816	841928
935	12123548	828960
936	12136304	815994
937	12148987	803024
938	12161687	790056
939	12174375	777087
940	12187161	764125
941	12199944	751164
942	12212466	738187
943	12225211	725224
944	12237933	712260
945	12250654	699297
946	12263431	686337
947	12276188	673377
948	12288949	660417
949	12301693	647457
950	12314384	634495
951	12327085	621533
952	12339733	608570
953	12352452	595610
954	12365202	582653
955	12377947	569696
956	12390601	556735
957	12403412	543782
958	12416128	530825
959	12428929	517872
960	12441698	504918
961	12454398	491961
962	12467121	479006
963	12479862	466052
964	12492536	453097
965	12505301	440145
966	12518040	427192
967	12530746	414239
968	12543435	401286
969	12556155	388334
970	12568857	375382
971	12581545	362431
972	12594226	349480
973	12606984	336531
974	12619776	323584
975	12632399	310632
976	12645181	297685
977	12657956	284739
978	12670709	271792
979	12683439	258845
980	12696074	245897
981	12708853	232952
982	12721575	220006
983	12734261	207061
984	12746976	194116
985	12759647	181171
986	12772356	168227
987	12785125	155284
988	12797859	142342
989	12810529	129399
990	12823081	116455
991	12835769	103514
992	12848528	90573
993	12861356	77633
994	12874098	64693
995	12886834	51754
996	12899607	38815
997	12912276	25876
998	12925019	12937
999	12937746	0
